"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-1704dabb-104556","1704dabb16acb40b","2026-03-02 10:45:00+05:30","2026-03-02 10:45:00+05:30","2026-03-02 10:45:56+0530","2026-03-02 11:38:15+0530","JTLIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","59.79","59.74","59.0","60.2","59.0","TARGET","0.74","1.2387","260302170988779.0","260302170988789.0","260302170988794.0","","0.449"
"LT-7f26aa00-114000-SKIP","7f26aa0092764a79","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:40:00+0530","2026-03-02 11:40:00+0530","IRMENERGY","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","227.94","0.0","227.94","229.65","225.2","ENTRY_SKIPPED_MIS_BLOCKED_OR_MISSING","0.0","0.0","","","","","0.3791"
"LT-b43ac7f0-114938","b43ac7f0db06f575","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 11:49:38+0530","2026-03-02 11:50:40+0530","APOLLO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","214.02","0.0","214.02","215.63","211.45","ENTRY_FAILED","0.0","0.0","260302171274676.0","","","","0.96"
"LT-0b177613-121442","0b1776136592bd8b","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:14:42+0530","","JIOFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","247.35","0.0","0.0","249.21","244.38","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.8135"
"LT-13094cae-121442","13094caeff85259b","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:14:42+0530","","M&M","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","3299.7","0.0","0.0","3324.45","3260.1","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.7669"
"LT-26e28f6d-110040","26e28f6d79de9ec8","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:00:40+0530","2026-03-02 12:26:01+0530","GMRAIRPORT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","96.93","96.9","95.75","97.65","95.75","TARGET","1.15","1.1868","260302171062601","260302171062610","260302171062614","","0.5825"
"LT-389f8b07-121442","389f8b073d3d94ee","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 12:14:42+0530","","CONCOR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","476.65","0.0","0.0","480.22","470.93","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.6675"
"LT-3d3967e5-122824","3d3967e5e226bccc","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 12:28:24+0530","","NUVAMA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1202.0","0.0","0.0","1211.01","1187.58","ENTRY_PENDING","0.0","0.0","","","","","0.7949"
"LT-403461a4-114938","403461a4d3f5a170","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 11:49:38+0530","2026-03-02 12:18:02+0530","SUNTECK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","392.25","391.15","386.45","394.1","386.45","TARGET","4.7","1.2016","260302171274682","260302171274701","260302171274710","","0.5862"
"LT-51a9e8fc-121442","51a9e8fce69992c6","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 12:14:42+0530","","IRCON","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","136.75","0.0","0.0","137.78","135.11","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.8159"
"LT-51ae09e7-121442","51ae09e767123137","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 12:14:42+0530","","IREDA","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","115.97","0.0","0.0","116.84","114.58","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.7436"
"LT-6025707e-122824","6025707ef61709bd","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 12:28:24+0530","","KPITTECH","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","750.15","0.0","0.0","755.78","741.15","ENTRY_PENDING","0.0","0.0","","","","","0.4174"
"LT-62d78161-121442","62d78161ce184964","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 12:14:42+0530","","GHCL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","468.15","0.0","0.0","471.66","462.53","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.8824"
"LT-6b5c949b-121442","6b5c949b61de7915","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:14:42+0530","","JBMA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","528.2","0.0","0.0","532.16","521.86","ENTRY_PENDING_RECOVERED","0.0","0.0","","","","","0.6041"
